##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000762265.1	PRJNA224116	SAMN03085433	na	na	2162	2162	Methanobacterium formicicum	strain=BRM9	na	latest	Complete Genome	Major	Full	2014-10-02	ASM76226v1	PGgRc	GCA_000762265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1	na	na	na	haploid	archaea	2449987	2449987	41.500000	1	1	1	NCBI RefSeq	GCF_000762265.1-RS_2024_10_21	2024-10-21	2453	2386	55	na
GCF_001458655.1	PRJNA224116	SAMEA2779801	na	reference genome	2162	2162	Methanobacterium formicicum	na	Mb9	latest	Complete Genome	Major	Full	2015-11-16	Mb9	CEBITEC	GCA_001458655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9	na	na	na	haploid	archaea	2494510	2494510	41.000000	1	1	1	NCBI RefSeq	GCF_001458655.1-RS_2025_11_21	2025-11-21	2468	2408	55	na
GCF_015351695.1	PRJNA224116	SAMN16521386	JADIIL000000000.1	na	2162	2162	Methanobacterium formicicum	na	bin2	latest	Contig	Major	Full	2020-11-10	ASM1535169v1	Water Research Institute, IRSA-CNR	GCA_015351695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/351/695/GCF_015351695.1_ASM1535169v1	derived from metagenome	na	na	haploid	archaea	2442285	2442285	41.500000	0	40	40	NCBI RefSeq	GCF_015351695.1-RS_2025_08_06	2025-08-06	2476	2416	49	na
GCF_029601605.1	PRJNA224116	SAMN34002612	JARRCX000000000.1	na	2162	2162	Methanobacterium formicicum	strain=MCMA1521	na	latest	Contig	Major	Full	2023-04-05	ASM2960160v1	Agharkar Research Institute	GCA_029601605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/601/605/GCF_029601605.1_ASM2960160v1	na	na	na	haploid	archaea	2425208	2425208	41.500000	0	48	48	NCBI RefSeq	GCF_029601605.1-RS_2025_06_30	2025-06-30	2443	2380	53	na
GCF_029848115.1	PRJNA224116	SAMN34164049	JARVXG000000000.1	na	2162	2162	Methanobacterium formicicum	strain=MF	na	latest	Contig	Major	Full	2023-04-19	ASM2984811v1	Wageningen University	GCA_029848115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/848/115/GCF_029848115.1_ASM2984811v1	na	assembly from type material	na	haploid	archaea	2425823	2425823	41.500000	0	59	59	NCBI RefSeq	GCF_029848115.1-RS_2025_04_19	2025-04-19	2453	2384	53	na
GCF_036829215.1	PRJNA224116	SAMN28750746	DAISQW000000000.1	na	2162	2162	Methanobacterium formicicum	na	CTOTU7630	latest	Scaffold	Major	Full	2024-02-23	ASM3682921v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036829215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/829/215/GCF_036829215.1_ASM3682921v1	derived from metagenome	na	na	haploid	archaea	2125965	2120065	42.000000	0	111	170	NCBI RefSeq	GCF_036829215.1-RS_2025_02_25	2025-02-25	2174	2116	43	37994269
GCF_041447325.1	PRJNA224116	SAMN42317188	JBGMED000000000.1	na	2162	2162	Methanobacterium formicicum	na	3DMC	latest	Contig	Major	Full	2024-08-24	ASM4144732v1	Institute of Applied Ecology	GCA_041447325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/447/325/GCF_041447325.1_ASM4144732v1	derived from metagenome	na	na	haploid	archaea	2362978	2362978	41.500000	0	98	98	NCBI RefSeq	GCF_041447325.1-RS_2025_08_26	2025-08-26	2389	2329	47	na
GCF_937905965.1	PRJNA224116	SAMEA14037491	CALCVY000000000.1	na	2162	2162	Methanobacterium formicicum	na	SRR1562007_bin.168_CONCOCT_v1.1_MAG	latest	Contig	Major	Full	2023-01-10	SRR1562007_bin.168_CONCOCT_v1.1_MAG	European Bioinformatics Institute	GCA_937905965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/937/905/965/GCF_937905965.1_SRR1562007_bin.168_CONCOCT_v1.1_MAG	derived from metagenome	na	na	haploid	archaea	2393109	2393109	41.500000	0	291	291	NCBI RefSeq	GCF_937905965.1-RS_2025_05_03	2025-05-03	2468	2381	26	na
GCF_016217785.1	PRJNA224116	SAMN15436386	JACRGA000000000.1	na	2164	2164	Methanobacterium sp.	na	NC_groundwater_1739_Pr3_B-0.1um_39_112	latest	Contig	Major	Full	2020-12-21	ASM1621778v1	Innovative Genomics Institute	GCA_016217785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/217/785/GCF_016217785.1_ASM1621778v1	derived from metagenome	na	na	haploid	archaea	2607763	2607763	39.000000	0	27	27	NCBI RefSeq	GCF_016217785.1-RS_2024_07_18	2024-07-18	2553	2491	47	na
GCF_016222945.1	PRJNA224116	SAMN15436799	JACRPY000000000.1	na	2164	2164	Methanobacterium sp.	na	NC_groundwater_1999_Pr3_S-0.65um_33_4	latest	Scaffold	Major	Full	2020-12-21	ASM1622294v1	Innovative Genomics Institute	GCA_016222945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/222/945/GCF_016222945.1_ASM1622294v1	derived from metagenome	na	na	haploid	archaea	2261001	2260814	32.500000	0	11	15	NCBI RefSeq	GCF_016222945.1-RS_2025_05_31	2025-05-31	2361	2309	39	na
